periodo:,enero-mayo,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26
UEJ,NOMBRE UEJ,RUBRO,TIPO,CTA,"SUB
CTA",OBJ,ORD,"SOR
ORD",ITEM,"SUB
ITEM","SUB
ITEM 2",FUENTE,REC,SIT,DESCRIPCION,APR. INICIAL,APR. ADICIONADA,APR. REDUCIDA,APR. VIGENTE,APR BLOQUEADA,CDP,APR. DISPONIBLE,COMPROMISO,OBLIGACION,ORDEN PAGO,PAGOS
01-01-01,SENADO DE LA REPUBLICA,A-01-01-01,A,01,01,01,,,,,,Nación,10,CSF,SALARIO,205332000000,0,0,205332000000,35682325864,74004709565,95644964571,74004709565,74004709565,73823595795,73823595795
01-01-01,SENADO DE LA REPUBLICA,A-01-01-02,A,01,01,02,,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NÓMINA,70323000000,0,0,70323000000,0,31934035933,38388964067,31932603933,31932009433,31932009433,31932009433
01-01-01,SENADO DE LA REPUBLICA,A-01-01-03,A,01,01,03,,,,,,Nación,10,CSF,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,14571000000,0,0,14571000000,0,2111269816,12459730184,2111269816,2111269816,2111269816,2111269816
01-01-01,SENADO DE LA REPUBLICA,A-01-01-04,A,01,01,04,,,,,,Nación,10,CSF,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,19934000000,0,0,19934000000,19934000000,0,0,0,0,0,0
01-01-01,SENADO DE LA REPUBLICA,A-02,A,02,,,,,,,,Nación,10,CSF,ADQUISICIÓN DE BIENES  Y SERVICIOS,57553000000,25000000000,0,82553000000,0,82548000010,4999990,48472264172.52,10094001456.83,9441662441.83,9441662441.83
01-01-01,SENADO DE LA REPUBLICA,A-03-02-02,A,03,02,02,,,,,,Nación,10,CSF,A ORGANIZACIONES INTERNACIONALES,524000000,0,0,524000000,0,518990000,5010000,518990000,518990000,518990000,518990000
01-01-01,SENADO DE LA REPUBLICA,A-03-03-01-999,A,03,03,01,999,,,,,Nación,10,CSF,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,54447000000,0,25000000000,29447000000,29447000000,0,0,0,0,0,0
01-01-01,SENADO DE LA REPUBLICA,A-03-03-04-073,A,03,03,04,073,,,,,Nación,10,CSF,"OPERACIÓN Y FUNCIONAMIENTO DEL CENTRO DE ALTOS ESTUDIOS LEGISLATIVOS JORGE AURELIO IRAGORRI HORMAZA (CAEL), CREADO POR EL ARTÍCULO 6° DE LA LEY 2165 DE 2021",10000000000,0,0,10000000000,8000000000,2000000000,0,0,0,0,0
01-01-01,SENADO DE LA REPUBLICA,A-03-04-02-012,A,03,04,02,012,,,,,Nación,10,CSF,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),628000000,0,0,628000000,0,204715344,423284656,204715344,185564593,185564593,185564593
01-01-01,SENADO DE LA REPUBLICA,A-03-10,A,03,10,,,,,,,Nación,10,CSF,SENTENCIAS Y CONCILIACIONES,325000000,0,0,325000000,0,325000000,0,0,0,0,0
01-01-01,SENADO DE LA REPUBLICA,A-08-01,A,08,01,,,,,,,Nación,10,CSF,IMPUESTOS,390000000,0,0,390000000,0,105019000,284981000,100935900,19893000,19893000,19893000
01-01-01,SENADO DE LA REPUBLICA,A-08-04-01,A,08,04,01,,,,,,Nación,11,SSF,CUOTA DE FISCALIZACIÓN Y AUDITAJE,980000000,0,0,980000000,0,0,980000000,0,0,0,0
01-01-01,SENADO DE LA REPUBLICA,B-10-01-03,B,10,01,03,,,,,,Nación,11,SSF,OTRAS CUENTAS POR PAGAR,1106000000,0,0,1106000000,0,0,1106000000,0,0,0,0
01-01-01,SENADO DE LA REPUBLICA,C-0101-1000-4-53105C,C,0101,1000,4,53105C,,,,,Nación,10,CSF,"5. CONVERGENCIA REGIONAL / C. CALIDAD, EFECTIVIDAD, TRANSPARENCIA Y COHERENCIA DE LAS NORMAS",1000000000,0,0,1000000000,0,1000000000,0,242585974,121292987,121292987,121292987
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-11-53105B,C,0199,1000,11,53105B,,,,,Nación,10,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,45000000000,0,18976383853,26023616147,0,26023616147,0,1743331667,264559667,264559667,264559667
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-12-53105B,C,0199,1000,12,53105B,,,,,Nación,10,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,7500000000,10000000000,0,17500000000,0,7500000000,10000000000,1333108235,145126666,145126666,145126666
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-13-53105B,C,0199,1000,13,53105B,,,,,Nación,10,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,4000000000,10612000000,0,14612000000,0,4000000000,10612000000,3674757400,742583334,742583334,742583334
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-14-53105B,C,0199,1000,14,53105B,,,,,Nación,10,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,2435616147,0,1635616147,800000000,0,800000000,0,287964266,127525166,127525166,127525166
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-15-53105B,C,0199,1000,15,53105B,,,,,Nación,10,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,500000000,0,0,500000000,0,500000000,0,0,0,0,0
01-01-02,CAMARA DE REPRESENTANTES,A-01-01-01,A,01,01,01,,,,,,Nación,10,CSF,SALARIO,309828000000,0,54500000000,255328000000,28795057989,122806896538.33,103726045472.67,122806896538.33,122805470024.33,122805470024.33,122805470024.33
01-01-02,CAMARA DE REPRESENTANTES,A-01-01-02,A,01,01,02,,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NÓMINA,111200000000,0,0,111200000000,0,54841672386,56358327614,54841672386,54841672386,54841672386,54841672386
01-01-02,CAMARA DE REPRESENTANTES,A-01-01-03,A,01,01,03,,,,,,Nación,10,CSF,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,20078000000,0,0,20078000000,0,9423214890.28,10654785109.72,3981830608.28,3926592965.28,3926592965.28,3871287181.28
01-01-02,CAMARA DE REPRESENTANTES,A-01-01-04,A,01,01,04,,,,,,Nación,10,CSF,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,75000000000,0,0,75000000000,75000000000,0,0,0,0,0,0
01-01-02,CAMARA DE REPRESENTANTES,A-02,A,02,,,,,,,,Nación,10,CSF,ADQUISICIÓN DE BIENES  Y SERVICIOS,101919000000,64500000000,0,166419000000,0,166419000000,0,104684251810.58,36211667852.86,34530915265.86,33713839267.86
01-01-02,CAMARA DE REPRESENTANTES,A-03-03-01-999,A,03,03,01,999,,,,,Nación,10,CSF,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,57900000000,0,0,57900000000,57900000000,0,0,0,0,0,0
